datetime;city;state;country;shape;duration (seconds);duration (hours/min);comments;date posted;latitude;longitude
10/10/1956 21:00;edna;tx;us;circle;20;1/2 hour;My older brother and twin sister were leaving the only Edna theater at about 9 PM&#44...we had our bikes and I took a different route home;1/17/2004;28,9783333;-96,6458333
10/10/1960 20:00;kaneohe;hi;us;light;900;15 minutes;"AS a Marine 1st Lt. flying an FJ4B fighter/attack aircraft on a solo night exercise&#44 I was at 50&#44000&#39 in a &quot;clean&quot; aircraft (no ordinan";1/22/2004;21,4180556;-157,8036111
10/10/1968 13:00;hawthorne;ca;us;circle;300;5 min.;ROUND &#44 ORANGE &#44 WITH WHAT I WOULD SAY WAS POLISHED METAL OF SOME KIND AROUND THE EDGES .;10/31/2003;33,9163889;-118,3516667
10/10/1968 19:00;brevard;nc;us;fireball;180;3 minutes;silent red /orange mass of energy floated by three of us in western North Carolina in the 60s;6/12/2008;35,2333333;-82,7344444
10/10/1970 19:00;manchester;ky;us;unknown;180;3 minutes;Slow moving&#44 silent craft accelerated at an unbelievable angle and speed.;2/14/2008;37,1536111;-83,7619444
10/10/1972 19:00;harlan county;ky;us;circle;1200;20minutes;On october 10&#44 1972 myself&#44my 5yrs.daughter&#442 neices and 2 nephews were playing tag in the back yard .When we looked over on the ridge;9/15/2005;36,8430556;-83,3219444
10/10/1974 23:00;hudson;ks;us;light;1200;one hour?;The light chased us.;7/25/2004;38,1055556;-98,6597222
10/10/1975 17:00;north charleston;sc;us;light;360;5-6 minutes;Several Flashing UFO lights over Charleston Naval Base in S.C.;2/14/2008;32,8544444;-79,975
10/10/1977 22:00;louisville;ky;us;light;30;approx: 30 seconds;HBCCUFO CANADIAN REPORT:  Pilot Sighting Of Unusual Light.;3/17/2004;38,2541667;-85,7594444
10/10/1979 22:00;security;co;us;unknown;1800;30mins.;very low clouds all different colors&#44search lights were seen shining down out of the clouds on the houses and streets. this event was s;1/28/1999;38,7583333;-104,7425
10/10/1980 22:00;dallas;tx;us;unknown;300;5 minutes;Strange shape shifting craft of pure light energy.;10/28/2002;32,7833333;-96,8
10/10/1980 23:30;manchester;nh;us;light;300;3 to 5 min;A red glowing sphere stopped and watched me.;11/21/2010;42,9955556;-71,4552778
10/10/1984 05:00;houston;tx;us;circle;60;1 minute;2 experience with unkown;4/18/2012;29,7630556;-95,3630556
10/10/1988 18:00;milwaukee;wi;us;triangle;600;10 minutes;A silent black triangular object with no lights moved over us as we walked our dog across a school playground.;8/7/2007;43,0388889;-87,9063889
10/10/1988 21:00;new gloucester;me;us;unknown;120;few minutes;I&#39m still afraid to look at the sky at night.;1/10/2009;43,9627778;-70,2830556
10/10/1988 22:00;boulder;co;us;light;60;1 minute;Three Stars Begin to Move Randomly&#44 Stop&#44 Change Direction&#44 Move Again&#44 And Then Vanish;7/16/2006;40,015;-105,27
10/10/1988 22:45;seattle (ballard area);wa;us;unknown;2;2 sec.;Two adult witnesses are stunned by the sound of an object that streaks above the home they are in.;4/27/2004;47,6063889;-122,3308333
10/10/1989 21:00;centralia;wa;us;triangle;60;1 minute;A huge triangularly shaped silent object that blotted out 25 degrees of the sky&#44 lighted by four glowing points.;4/27/2004;46,7163889;-122,9530556
10/10/1990 21:00;ashburn;ga;us;triangle;120;2 minutes;Translucent Craft that makes No Sound While Moving;10/8/2007;31,7058333;-83,6533333
10/10/1991 22:00;frisco;nc;us;unknown;1800;30 minutes;A friend and myself were standing on the shore of the Pamlico sound as we observed 4 objects moving in up and down motions for about 30;1/28/1999;35,235;-75,6288889
10/10/1991 22:00;harrisburg;pa;us;triangle;600;10 minutes;We observed 3 triangular shaped high speed objects&#33;5/9/2003;40,2736111;-76,8847222
10/10/1992 18:00;stafford;tx;us;unknown;10;10 seconds;A man emerges from a beam of light that shines on a grassy field at night and he runs towards the Texas Instruments parking lot.;4/18/2012;29,6158333;-95,5575
10/10/1992 22:00;weatherford;tx;us;unknown;30;30 seconds;Black or dark grey.  Too big&#44 too low&#44 too slow&#44 too quiet&#44 for a normal aircraft.;9/2/2005;32,7591667;-97,7969444
10/10/1993 22:00;peoria;il;us;light;8;8 seconds;Light over Peoria&#44 IL that moves slowly&#44 stops in mid-air&#44 hovers&#44 changes colors&#44 shoots in opposite direction and disappears.;10/11/2005;40,6936111;-89,5888889
10/10/1994 22:00;pinebergen;ar;us;light;5;5 seconds;Round&#44 bright&#44 low flying object silently speeds West of Arkansas town at 11:30pm&#44 10/10/94.;2/18/2001;34,1027778;-91,9922222
